GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TeamProject,dev.teamproject.config,SecurityConfig,0,149,0,0,0,23,0,7,0,7
TeamProject,dev.teamproject.config,CorsConfig,0,54,0,0,0,17,0,2,0,2
TeamProject,dev.teamproject.filter,JwtRequestFilter,46,20,8,2,10,8,5,2,0,2
TeamProject,dev.teamproject.service.impl,RatingServiceImpl,4,332,10,50,1,74,10,29,0,9
TeamProject,dev.teamproject.service.impl,OpenAiServiceImpl,0,45,0,0,0,9,0,2,0,2
TeamProject,dev.teamproject.service.impl,UserServiceImpl,0,284,0,12,0,64,0,17,0,11
TeamProject,dev.teamproject.service.impl,KitchenServiceImpl,0,648,1,65,0,165,1,45,0,13
TeamProject,dev.teamproject,TeamProjectApplication,5,7,0,0,2,2,1,2,1,2
TeamProject,dev.teamproject.controller,KitchenController,92,332,6,34,25,69,6,28,0,14
TeamProject,dev.teamproject.controller,UserController,47,114,0,4,8,27,0,7,0,5
TeamProject,dev.teamproject.util,JwtUtil,0,86,1,3,0,15,1,9,0,8
TeamProject,dev.teamproject.util,RandomGenerator,3,29,0,2,1,6,1,2,1,1
TeamProject,dev.teamproject.event,KitchenCreatedEvent,0,10,0,0,0,4,0,2,0,2
TeamProject,dev.teamproject.event,KitchenEventListener,0,9,0,0,0,3,0,2,0,2
TeamProject,dev.teamproject.client,CallbackClientService,0,17,0,0,0,6,0,2,0,2
TeamProject,dev.teamproject.model,Rating,1,20,1,3,0,4,1,3,0,2
TeamProject,dev.teamproject.model,User,2,91,3,11,1,26,3,14,0,10
TeamProject,dev.teamproject.model,AuthenticationResponse,11,12,0,0,5,5,3,2,3,2
TeamProject,dev.teamproject.model,WaitTimePrediction,3,0,0,0,1,0,1,0,1,0
TeamProject,dev.teamproject.model,Kitchen,0,45,0,6,0,12,0,7,0,4
